bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
421.53317,686.7202,402.84482,833.8776,562.80756,838.66815,566.8217,685.3783
420.28253,684.7972,403.99677,833.06104,559.16327,835.37427,565.7764,686.37866
418.77686,683.56305,404.47012,833.5779,557.4922,832.2147,566.9872,684.7071
422.4965,687.5238,400.81244,836.5106,561.7839,837.4213,564.39404,686.86676
418.93607,683.9143,404.27243,833.5715,557.9207,833.62506,566.06464,685.4621
418.30463,682.60114,405.64523,832.22314,557.0501,833.9396,567.2454,684.69214
419.83954,684.848,404.26993,833.83105,558.55707,834.2905,567.40405,683.6655
417.16425,680.53467,412.4452,829.29517,554.84076,832.6298,568.82715,679.5259
421.54492,686.742,405.9996,832.6419,562.77045,838.48694,567.2466,683.7153
418.1609,683.8018,404.08835,834.7151,556.43243,830.56836,565.0412,685.43774
419.5623,683.4603,407.76712,831.0234,560.42035,837.76514,567.8141,683.306
417.20856,682.26794,404.4572,834.4205,556.51434,831.3702,568.58185,682.703
422.2244,686.9866,401.36847,837.4217,565.0122,841.6069,565.8301,684.9887
417.97067,684.3989,402.45105,835.9164,559.8024,832.9175,566.0507,684.99994
415.0056,677.63525,401.71252,838.0324,551.32574,828.99164,561.06195,688.9266
419.45502,685.7475,403.06976,835.5101,559.06354,833.0349,565.3896,685.0527
422.3694,685.7926,400.10043,837.38837,560.58185,837.92175,563.503,687.1878
419.69992,685.13525,398.95782,838.48474,560.98566,835.6273,565.1006,686.955
417.7197,681.526,404.14386,834.9861,556.02496,832.35443,564.5755,686.01416
421.2127,685.5979,402.83966,836.23395,558.2772,834.30005,564.0154,685.6958
417.7036,681.7323,404.699,834.787,558.2046,834.3674,567.0819,682.9294
418.16086,683.8105,405.70914,832.10364,557.67896,832.3519,567.2208,684.41034
422.83472,687.92993,399.94702,838.40216,559.1666,834.1531,561.91394,688.19586
419.38834,684.241,405.60144,832.6642,558.7,834.3893,567.55676,683.986
419.4938,684.6843,404.24344,835.1087,558.30725,833.20404,564.72705,685.5563
417.93372,682.021,409.64572,829.4213,557.47766,835.1706,569.3499,682.28345
420.2987,685.6038,401.82413,837.509,559.71936,834.46716,564.49207,685.06537
418.88892,684.2531,405.21277,833.9028,558.6256,833.4018,566.19116,684.3617
421.3869,684.29376,403.05023,836.0397,556.7307,833.84216,565.8984,684.2601
418.94824,685.67975,400.875,837.248,561.91406,834.6815,563.3005,687.42413
420.57166,684.45447,407.5017,832.2339,559.7846,837.2289,568.81305,681.4346
418.51974,686.2106,403.87073,835.7528,561.4421,833.73676,565.64984,683.61066
418.73685,682.9259,405.62518,832.8283,555.5587,831.91724,565.87054,684.74475
417.7927,683.7455,402.5411,835.86194,557.4821,831.6735,566.62585,683.5724
417.1854,683.3543,402.1489,836.51074,557.4549,830.7802,564.0982,686.35535
423.43167,687.69324,400.8925,837.7761,566.02814,843.4923,564.27496,686.09686
422.0512,689.04236,404.2996,834.2334,564.073,837.73706,565.4866,685.19806
421.11713,685.5471,402.78345,835.48663,562.3146,838.8264,566.0187,685.15906
422.75977,687.9551,400.71585,837.5186,560.6771,835.2437,562.04517,688.3841
425.18457,691.05304,397.85272,839.8285,566.7855,842.5072,561.6353,689.3063
424.36108,691.41907,402.59933,836.28845,564.71265,836.6092,564.38385,685.52686
418.7026,684.3941,402.0783,836.33997,558.28357,832.1533,563.9324,687.0531
418.79584,685.01746,403.54913,835.59235,558.6279,833.67017,564.27686,685.4683
415.8516,680.3738,400.51102,839.5909,554.1278,829.0488,558.2054,690.71063
419.2115,685.7599,402.75946,836.3004,560.214,834.1837,566.6347,683.70154
421.99728,685.9515,400.46365,838.414,562.27765,838.9098,564.502,685.9335
417.34024,679.76746,405.06802,834.6008,552.15533,829.8933,562.50366,687.06726
418.77585,684.92883,404.39847,833.2076,559.8155,834.5128,567.8047,684.0304
418.20462,683.9924,404.77518,834.89,558.14935,832.0922,563.0115,686.98145
422.76004,687.5741,398.9551,837.89233,562.3592,837.4654,561.7146,690.7991
419.98352,685.59326,406.58328,831.8352,560.2633,835.4462,569.11505,682.32404
419.98328,686.12946,401.75238,836.5435,560.5195,834.3931,563.8826,686.3306
418.38385,683.6925,404.7366,834.3093,557.79565,832.65607,566.5649,683.94763
421.0491,687.88074,399.4343,837.2811,561.9283,834.48267,563.7516,687.3859
420.42676,685.2399,395.32086,842.74414,558.10803,832.8199,560.423,689.50354
420.54153,686.81085,401.83817,835.81964,562.754,836.8334,565.09015,686.3996
417.90994,683.935,402.66394,835.72766,557.3215,831.3701,564.702,686.6352
420.41364,685.327,403.32626,833.9801,559.0042,833.9568,567.3376,684.69025
418.97134,683.60846,401.7799,837.6013,557.1455,831.89667,563.334,686.1864
418.47516,684.1612,402.18384,836.41003,558.15906,831.7468,564.61896,686.30896
419.1591,684.80035,404.737,833.6041,560.54987,835.15875,566.83655,684.4352
418.84103,684.29816,403.58844,834.8664,558.4764,833.1006,565.52155,685.021
420.43445,684.34296,402.33167,835.4111,557.1824,833.1249,565.58234,686.0627
426.75443,691.17896,399.4011,838.5913,563.7904,840.3895,561.19006,688.7146
418.92944,684.0479,400.91025,837.5855,557.8925,831.1724,563.2702,687.1624
421.27975,685.5954,403.20142,835.6497,561.20215,838.14655,565.2492,685.0159
422.8043,687.707,402.19138,836.32245,563.43097,839.2378,564.68304,685.5827
422.12766,688.38837,401.818,835.43567,560.9201,834.9091,565.73224,685.877
418.07617,683.65405,400.98923,836.6699,557.87726,832.08954,564.70197,686.6688
417.63806,684.1096,405.4779,833.4637,560.2213,833.40027,565.4801,685.0375
417.6897,683.7373,406.0402,833.5997,558.19995,832.25946,567.5931,682.4175
418.52435,684.9438,405.78677,833.8917,560.42975,833.4394,564.91907,685.1793
420.74728,684.7158,401.45697,836.00946,558.14404,834.2243,565.3361,686.07214
420.3013,686.5829,405.27042,834.79083,560.94867,834.1416,564.221,685.70374
419.87936,685.60474,402.53113,836.5268,557.78705,831.6409,564.0933,686.44836
415.6399,681.49567,411.03076,830.3755,558.69507,832.89746,570.18823,678.75
417.20673,681.5372,405.1476,833.77466,554.5427,830.85175,567.1425,683.7858
417.912,681.963,405.23746,832.54425,554.07526,830.4849,565.89594,685.58295
421.4171,686.12695,401.70404,836.1091,560.37897,835.18567,563.6873,688.00616
418.32565,684.6411,404.6543,834.3376,558.5381,832.4262,564.7995,685.3998
417.54132,680.0799,399.91818,839.6431,551.796,829.95703,558.88,690.6154
419.64444,684.6987,402.66504,835.9065,558.2372,832.9549,565.1547,685.44464
418.84976,682.96234,405.43103,833.1321,555.44885,832.04944,566.7743,683.8358
421.20578,688.9744,398.5398,837.76416,563.51746,834.7225,564.6863,687.8355
419.62433,684.1645,404.2571,834.0113,557.95135,833.32404,566.1587,684.65436
420.22916,684.0603,408.49225,831.7861,559.98645,837.6635,568.6993,680.6629
417.71606,682.7234,411.44522,831.66547,557.4543,832.6421,567.8218,679.0126
419.64938,684.5978,405.53094,833.3092,558.3969,833.8221,566.7081,683.99097
421.47302,687.47034,399.5637,838.67896,560.94293,834.6215,564.3732,686.59875
419.26352,686.18225,405.528,833.1146,561.4316,833.6473,565.2793,685.1609
419.7336,686.31537,403.34692,835.4879,560.4575,834.54474,566.7606,683.80133
