bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
857.81573,217.03018,861.2361,347.2005,995.8655,354.05612,999.45087,214.44699
855.52106,215.5025,858.615,349.39066,993.03,350.80704,998.76733,215.87842
858.4173,218.3125,858.67224,349.60168,995.07745,353.0089,997.6215,216.19241
851.4998,213.39638,853.64386,354.94107,988.65857,345.1662,993.56635,220.16539
859.7503,219.20413,860.01074,350.0848,995.89435,353.73328,996.9272,215.25424
857.5653,217.28033,857.9332,350.1228,993.0814,350.6592,997.2583,217.11621
854.3507,213.4437,857.8031,351.5804,989.4823,347.84094,996.95764,216.79901
857.51,217.06316,856.05206,351.0367,993.88763,351.26147,996.6553,218.60577
853.8558,214.76819,855.51715,354.48325,990.81384,347.69904,994.2114,218.18994
856.56226,218.12466,858.31506,349.72375,995.8392,352.16565,998.5483,215.67989
855.564,215.8978,858.43024,349.59402,992.82086,350.2768,997.79517,216.5671
860.87335,221.47214,859.01044,349.31595,996.2066,352.86075,998.3673,215.53796
860.27167,222.0996,857.2468,349.9245,1002.30096,357.49118,999.62537,215.21313
843.84863,203.66878,854.70416,352.7384,985.9667,343.79965,993.75476,220.501
857.55383,217.84024,857.1554,350.92398,994.3954,352.16275,993.6264,220.04767
858.8137,218.61624,855.58673,351.6577,996.76245,354.57422,995.6935,218.89522
852.7163,211.71455,858.9546,349.827,989.1973,347.86063,996.7584,217.12424
858.2756,218.83209,856.6379,350.63983,995.51624,352.54968,997.6831,217.06985
858.7954,219.39005,857.6003,350.8978,993.7939,350.47015,996.4466,216.79791
857.0212,216.94608,860.4214,347.70108,993.9158,351.98074,1000.1186,214.20026
861.39056,222.13538,854.8568,352.82877,998.3563,354.766,996.1203,218.34473
856.38837,216.77232,858.862,349.49414,993.50287,350.78485,998.0479,215.87454
861.7238,222.76003,855.5855,351.4418,998.88513,355.34763,996.3908,217.94481
859.8957,217.59177,856.8293,350.40198,994.7695,355.00757,997.5394,217.12564
858.46826,219.20358,857.57135,350.19302,996.3131,353.0521,997.64636,216.69974
855.9386,217.12347,863.7159,345.59775,994.6015,352.22787,1002.8523,210.3308
854.979,215.54729,858.9176,349.07578,993.11237,350.22256,999.5285,215.17384
856.7828,216.81639,855.49854,352.57397,993.372,350.1997,996.90985,217.742
857.5307,219.56584,860.042,347.5706,996.42804,352.7653,1000.6009,213.94296
856.2092,216.75441,860.52795,348.64532,993.4758,350.63083,999.8065,212.86894
856.7767,216.84647,861.28345,347.18918,993.2024,351.5269,999.15186,215.41609
857.61816,216.81032,858.30176,349.7327,993.8016,351.8476,998.8918,215.47694
858.406,218.45403,859.24567,347.97653,996.33563,354.30112,999.7789,216.59125
856.4626,217.26082,859.4566,348.60526,993.3307,350.19684,1000.1281,214.20734
856.92487,217.01918,856.1832,351.69232,993.70337,351.45325,997.6858,216.92354
855.2917,216.09567,857.1545,350.0567,994.0308,351.20697,998.34906,217.00665
858.0341,217.9669,860.48413,347.1847,995.1643,353.13165,1000.07745,214.72896
857.3694,219.13264,858.73206,349.05685,995.88275,352.13785,999.487,214.96281
859.73315,220.11165,859.4141,348.26376,1000.1155,357.51175,1000.03296,214.60635
854.472,214.4124,859.85065,348.07816,991.56396,349.7326,1000.78217,214.4356
854.1579,215.88329,857.8691,350.00174,993.80695,349.87067,998.32776,216.16196
855.28296,216.80345,859.68085,348.33145,994.65076,351.6285,999.23706,215.15302
855.9384,216.69786,856.9551,351.64746,993.5309,350.2229,996.6897,217.34148
858.5432,218.63733,854.6175,354.54404,994.7186,351.67462,992.7156,219.69994
859.39935,220.87541,859.85425,348.00113,1001.9523,357.4496,999.50916,215.46712
853.4862,214.40013,859.573,349.9334,992.00354,348.13922,998.79224,214.4797
858.802,217.3153,859.0453,347.46945,995.0517,353.9714,999.93463,215.8455
857.54626,217.14496,856.21423,352.18564,993.69464,351.24918,996.617,216.963
857.0335,217.76933,861.46423,346.3613,994.71875,352.1873,1001.2245,214.1538
856.2329,217.54227,859.76855,348.77133,994.3445,350.78876,1001.3632,212.82784
862.22144,221.87357,858.0387,349.67075,999.6518,357.25406,1000.5642,213.80652
857.6346,217.62071,858.0628,349.85663,994.6923,352.49423,998.06885,216.64734
858.1576,218.60411,858.15326,349.0877,995.7607,353.5664,999.7287,215.12776
859.71893,220.2809,855.93066,353.0196,997.21765,353.64453,993.65234,219.32796
858.42615,218.13968,856.8108,351.46646,994.7583,352.9304,995.76666,217.97348
857.8938,217.09492,858.8818,348.9462,994.8636,353.41333,998.23486,216.00417
859.2002,219.37218,857.4923,349.35522,996.22534,353.65823,998.2419,216.99194
854.76324,213.2529,861.5602,348.45898,990.418,349.4927,999.27246,213.26236
857.59,215.72083,862.15955,348.0881,992.6198,351.9855,998.1794,214.47885
856.44025,216.60384,854.1833,353.17267,990.71893,347.64987,995.8656,218.52141
857.94965,218.79993,861.71625,346.24783,995.3911,352.74945,1001.1661,213.53299
857.0661,219.90149,856.2375,350.82727,995.1193,350.68576,996.98535,217.14476
859.4014,218.94516,860.5725,348.22748,996.86615,354.82767,1000.4363,212.20938
858.08185,218.04417,859.4423,349.0991,994.76227,352.33252,999.1671,214.39447
858.2641,218.78122,858.77795,349.31696,994.9034,352.12103,997.4188,216.73584
856.50464,217.02348,857.25525,351.1374,992.8027,349.80426,995.23645,218.55783
855.12244,216.81581,857.6951,350.1696,993.28864,349.08722,997.66956,216.78682
855.522,217.32112,861.206,346.41708,994.60046,351.5664,1001.1962,213.63191
854.6442,214.97336,867.6574,343.02124,992.6765,351.1311,1004.7987,207.2405
856.8102,218.32971,857.2554,350.25888,995.0545,351.1169,998.1799,216.82571
857.5628,217.9012,856.29755,352.23608,995.5776,352.84637,996.6156,216.94957
855.1506,215.10506,857.5912,349.5977,990.9443,348.66708,998.03314,217.44806
857.1485,217.13774,857.872,349.51038,993.5792,351.11774,997.8907,217.03963
858.81006,218.55803,859.34314,348.1646,995.254,353.45016,999.0058,215.57487
856.86,217.66002,860.02,348.1964,993.952,351.1884,999.20856,215.19644
856.11237,215.82205,857.5957,349.9258,993.6,351.40768,997.5232,217.38979
857.30035,217.72116,858.1785,349.62375,994.51794,351.53674,998.56384,215.84349
854.4507,215.34357,857.50586,350.9609,991.61285,348.1615,996.6254,217.23352
858.71735,219.90182,857.58496,350.6232,995.91327,351.88486,996.81506,216.68292
859.4474,217.5755,864.38916,343.73755,994.55597,354.36935,1002.019,212.62138
856.9128,216.74301,859.3418,347.94925,994.56384,352.41168,999.7971,215.26384
858.3952,218.34052,857.3911,351.7352,995.6898,353.40192,997.5315,215.85864
857.86755,217.00568,857.8021,350.5294,993.8726,351.8696,997.3028,216.74463
859.8274,220.58607,857.2882,350.0021,999.64716,356.08603,998.28186,216.71204
859.20526,218.44522,858.8777,349.0014,996.43616,355.24924,999.0829,215.61232
