bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
1397.499,691.6104,1397.0256,845.2599,1551.2631,840.5747,1539.4849,700.37286
1397.9293,690.902,1403.4429,842.45905,1552.851,843.1928,1541.1996,694.0436
1394.8744,689.27844,1405.2224,839.61096,1552.5195,842.1,1544.249,692.2782
1391.4005,685.2087,1403.5011,842.6191,1547.1307,837.0927,1542.0579,693.8215
1392.2012,686.4916,1405.3152,838.41394,1551.7911,841.52386,1546.735,691.4745
1395.2092,689.2526,1402.6116,844.0672,1552.3782,842.0732,1540.4058,694.8933
1395.3812,690.1311,1402.4392,842.47626,1553.4009,842.6702,1542.1992,694.2179
1393.6796,687.92566,1404.2294,839.9878,1552.351,842.1623,1543.7546,693.23584
1393.5356,688.00903,1405.1387,840.5758,1550.5463,840.1877,1543.2529,692.62537
1394.8513,688.71246,1400.7861,845.5834,1552.826,842.33417,1539.5354,695.65717
1392.5786,688.21875,1405.8871,837.76904,1552.9708,841.6975,1547.0609,690.7781
1396.0486,690.8509,1404.9698,838.08594,1554.7942,844.0276,1546.0597,691.6947
1394.4968,688.4314,1402.5278,842.9001,1548.208,838.04755,1540.1084,696.39105
1391.3838,686.9771,1406.6515,840.75165,1546.2566,834.6633,1542.2042,693.1197
1394.0554,688.28174,1405.9935,839.82166,1551.2217,841.1574,1542.5521,692.9001
1393.0653,690.0253,1407.2241,837.9024,1553.4668,840.624,1544.4955,691.4949
1394.0417,689.20374,1402.0306,839.8504,1553.1163,841.82086,1544.1885,696.5084
1395.0264,690.6464,1401.4993,844.9868,1553.568,841.7354,1538.1439,697.0599
1393.6323,688.319,1407.6218,837.1819,1551.7744,841.23535,1544.9926,691.2331
1386.79,680.2133,1403.0869,842.1241,1544.4453,834.8461,1543.2697,693.43555
1399.3282,694.0706,1401.8728,843.4549,1556.1368,844.3855,1541.8231,694.74567
1390.9973,686.1786,1403.6089,842.9651,1547.1604,836.20245,1542.3191,693.51355
1395.3796,689.80676,1399.3779,845.8674,1554.5514,843.43494,1537.4799,698.99426
1393.0947,686.96075,1403.0493,842.3679,1550.0833,839.766,1542.5555,693.73694
