bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
1221.2408,112.660194,1223.4901,330.8061,1445.2568,330.35907,1443.7465,121.61861
1218.4595,112.64174,1220.5237,334.52814,1443.5333,327.0869,1443.3787,121.9772
1215.4409,112.453186,1228.6647,327.9121,1444.6315,325.60162,1445.0585,118.933044
1225.485,117.937386,1226.581,329.43158,1448.1222,332.05597,1445.3171,119.01281
1222.9972,114.55912,1222.3158,331.5389,1446.4501,331.76218,1443.0226,122.48848
1224.2378,119.50026,1220.8466,332.35245,1450.8401,330.63284,1440.506,125.45831
1230.2648,121.72409,1222.4854,331.07703,1450.0511,334.76758,1442.845,123.06601
1224.0254,115.96743,1225.7457,331.1422,1447.011,332.22302,1443.8687,119.67436
1232.2998,124.21411,1223.386,333.00717,1452.6305,335.93234,1441.2992,122.266594
1217.7983,111.59999,1225.5472,329.24948,1445.2583,329.83014,1447.0986,119.39078
1226.5135,117.686035,1226.5525,329.86652,1447.2316,332.2857,1442.3788,121.94101
1224.2274,115.35539,1225.771,329.28003,1447.1519,332.2158,1443.3882,121.94263
1209.2382,104.30372,1224.7982,330.95743,1440.6974,324.8944,1446.6592,118.50252
1218.0027,110.169304,1218.2445,336.79926,1445.1473,329.46338,1440.7244,124.15077
1214.232,106.92088,1220.8456,334.23737,1442.7357,327.68472,1444.299,121.03786
1218.3701,114.73039,1223.7526,331.73962,1446.7596,329.16025,1445.0435,118.528435
1224.3473,116.76173,1221.5427,331.75763,1447.8147,332.03207,1442.8423,123.322495
1221.141,113.45847,1224.7944,329.30197,1444.9551,329.66797,1445.6011,120.19484
1218.2452,109.616486,1223.9734,332.187,1443.4324,329.04822,1443.8236,121.01121
1218.4763,112.6345,1230.6635,326.9603,1448.085,332.38052,1444.8481,115.84085
1217.8304,109.48029,1222.572,331.91086,1444.2687,329.56808,1444.5154,120.77573
1217.1436,113.35374,1229.0199,327.60034,1449.4304,332.5179,1444.5225,116.32357
1226.3103,118.20189,1223.4569,331.34976,1448.189,332.82312,1441.9458,123.04919
1217.9124,111.78985,1223.8827,331.4935,1445.0042,329.03333,1445.6489,119.191154
1216.7452,108.77963,1222.3141,332.68835,1444.2664,329.71793,1444.8457,120.093285
1221.9882,115.48728,1225.3231,329.4622,1448.6057,332.4198,1443.251,120.99803
1218.4758,109.54915,1225.5209,329.90305,1445.0435,330.7861,1444.9045,120.60933
1218.1069,110.32712,1224.3326,330.4788,1445.2393,330.31464,1444.2803,119.8553
1211.365,108.4226,1224.3779,332.54404,1442.2904,324.30157,1444.5619,119.4745
1217.232,107.28725,1224.0063,332.60773,1439.8375,327.13428,1438.2035,126.4492
1218.966,113.61291,1229.3494,328.61118,1446.2294,330.3496,1444.5336,117.02953
1219.9543,113.76354,1219.6154,333.43152,1446.818,330.40167,1442.4812,124.06089
1229.979,121.352684,1217.6082,333.9563,1450.214,334.60825,1440.6381,126.45503
1222.6063,117.935486,1215.9597,337.00677,1448.6123,330.4694,1441.8882,124.007256
1218.9996,111.05058,1221.86,333.84064,1444.3484,329.85382,1436.4907,127.03762
1219.426,112.07161,1231.7186,324.22314,1446.6038,331.19193,1448.2961,115.542076
1220.8937,114.43826,1225.4598,330.69983,1448.6593,332.6736,1442.9645,120.45696
1215.2765,103.56126,1225.743,331.09058,1437.4407,325.30887,1445.4539,118.59454
1217.4137,110.04115,1221.8942,332.57388,1444.6355,329.0131,1444.74,120.49934
1220.2938,113.135605,1218.6768,335.75296,1445.7397,330.07156,1441.452,124.22827
1219.4586,110.71823,1224.5277,332.32803,1443.6586,329.7086,1439.4044,124.032364
1220.5387,112.32745,1221.18,333.77914,1443.5718,328.48038,1443.3693,122.84279
1224.25,115.37708,1222.5695,332.52722,1446.5417,331.90588,1441.465,123.642746
1217.535,113.12674,1224.3539,332.05756,1446.4578,329.7031,1444.6783,118.7778
1218.2822,111.6483,1221.0709,333.24127,1444.7611,329.3115,1443.6519,122.145096
1225.7871,118.03546,1215.8398,334.2019,1447.8809,331.8027,1443.1177,125.65637
1215.6663,111.22163,1228.9186,325.47055,1442.8344,323.92972,1447.9366,118.18474
1220.2701,113.99674,1231.1814,326.39896,1445.0912,329.6682,1447.1807,117.27172
1220.3431,113.83479,1224.294,331.84457,1445.5775,330.39047,1444.6482,119.92571
1224.6003,116.98596,1227.1237,330.19226,1448.5348,332.53516,1444.9539,117.110275
1221.0356,114.406296,1230.9484,326.99054,1446.1294,331.4261,1447.2981,114.968445
1217.0961,109.27475,1220.4601,335.7562,1442.4258,325.89212,1439.5156,124.973915
1220.9406,114.93955,1226.8744,327.3028,1446.2637,330.62955,1447.7709,118.12438
1224.3427,115.95701,1222.6809,332.5181,1445.9689,331.7011,1443.9148,121.713974
1215.2003,111.709335,1226.6405,329.13333,1446.3413,326.69135,1443.8229,120.49737
1220.3658,115.89472,1217.8987,334.75424,1446.3074,329.29047,1443.4218,123.167786
1226.7551,117.9968,1222.2935,331.32114,1448.1584,333.71503,1442.9681,122.966965
1224.2695,114.58299,1226.359,328.76013,1446.3452,331.27838,1443.133,121.89086
