bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
988.5882,402.0603,989.7535,583.2828,1165.6299,573.3973,1166.7207,410.47284
997.28467,408.69672,995.55005,579.8022,1169.0198,578.93414,1169.6621,404.30054
997.17645,409.3001,993.1636,580.1359,1170.6053,579.16016,1168.1752,407.13718
991.13544,402.00958,993.3954,580.05225,1164.1439,574.7068,1166.6936,409.54736
993.6421,403.0786,990.4887,582.5048,1165.8744,576.66003,1165.7811,410.41367
987.6189,399.75894,990.29694,582.0034,1164.4106,573.78253,1167.0365,410.0273
992.74634,405.48413,995.966,574.78046,1170.8263,580.57983,1172.1353,407.05884
989.94635,399.61508,992.3213,580.1836,1163.3789,574.7236,1166.8734,410.26773
989.6348,402.38638,992.5807,580.5771,1165.6975,575.1949,1167.1951,409.1778
990.9584,403.40417,993.0426,580.1023,1165.864,575.3137,1168.8777,407.92715
989.73987,401.94196,989.7576,583.0862,1165.281,574.487,1166.4152,411.18243
990.0137,399.58585,993.71844,577.49646,1163.9216,576.2563,1167.7454,410.67325
986.86456,395.04697,994.7766,579.0556,1157.5797,571.1261,1165.372,411.2987
988.45685,400.1011,988.8207,585.09937,1165.1058,574.5098,1163.3761,412.6817
988.1626,400.70135,993.58185,579.16754,1164.0869,573.9732,1169.0414,409.15414
991.87317,404.30997,992.4183,579.1486,1167.6455,576.75275,1169.4655,409.37155
990.3805,401.70245,991.26776,581.50574,1166.1774,576.2039,1167.7837,409.00888
988.7488,399.54578,992.7789,579.1547,1162.9965,573.8803,1168.8098,409.5932
988.62274,400.67648,988.6093,583.487,1165.2239,574.33673,1165.1482,412.26025
992.44586,402.6181,992.5378,580.01996,1167.3622,578.81055,1166.2946,410.0883
989.8412,400.9772,990.5779,582.33,1163.977,574.1048,1165.1501,411.8687
991.985,403.372,990.9998,581.87714,1165.7195,575.59973,1165.1707,411.32214
986.8225,398.0383,991.5756,581.54803,1162.6249,573.09534,1167.6615,409.51245
989.30634,399.52765,994.5508,578.89136,1161.56,572.82904,1168.2424,408.5119
990.62885,403.1206,992.6694,580.26685,1165.5682,574.18384,1167.0919,409.55664
995.7951,407.15106,992.26514,579.3497,1169.8746,579.295,1167.7875,409.22357
989.70526,397.11642,993.38153,579.54694,1162.0883,576.18396,1164.8632,412.14835
990.60736,402.32535,994.7378,579.02313,1165.5237,576.2168,1168.5359,407.90182
987.7593,398.73035,992.10406,579.146,1163.7957,574.0957,1167.8456,410.03604
992.818,402.8824,994.19196,578.4548,1167.1287,577.60864,1169.0436,408.19617
992.4382,403.9559,988.85846,583.69836,1166.5964,576.4865,1166.1906,410.25674
995.2015,406.85736,994.1769,578.7496,1169.126,578.9129,1169.565,407.063
991.54706,400.40103,998.411,573.57916,1163.8904,577.0426,1171.4835,407.23767
993.3739,404.01135,988.3549,585.0967,1166.8821,577.3122,1164.1978,411.5719
991.64703,402.87695,995.459,577.88055,1167.5371,578.7264,1168.3114,407.82242
989.20123,399.9748,994.65247,578.14905,1163.4366,574.7689,1168.3508,408.57254
993.7026,402.341,996.05396,576.5318,1164.9229,578.6288,1168.0858,409.0816
992.4592,403.6285,994.35547,578.0008,1167.5961,578.14984,1168.4194,408.3728
987.7414,397.59415,992.1954,582.2636,1160.1624,571.55316,1164.5955,410.65915
988.20154,396.90704,991.91504,583.18677,1159.423,571.89545,1163.0546,411.98282
991.3045,403.09464,993.8324,578.8477,1166.9315,577.20465,1168.7537,408.05154
995.1358,406.7241,995.5893,579.0278,1166.762,576.1651,1168.5662,406.60397
990.4877,401.29047,995.2174,577.6818,1162.9026,573.8744,1169.4745,408.08527
987.4585,401.31058,993.5997,579.5486,1164.2155,573.234,1168.266,409.22238
987.1242,398.81168,991.7685,581.62317,1161.8772,572.3372,1167.0768,409.48727
989.61505,400.56226,991.61224,579.8922,1163.8091,574.5259,1167.9343,410.3633
992.38446,405.06912,991.5671,581.2147,1168.0946,576.5566,1165.6953,410.25638
991.492,405.7895,992.4785,580.7059,1168.6775,576.39514,1169.869,406.21915
990.267,400.52478,996.26904,575.5128,1163.6213,575.61993,1171.3733,407.67865
992.1395,403.60565,991.5892,580.6506,1166.1467,576.2392,1166.8732,409.86877
994.5409,408.5591,992.33185,579.969,1167.157,574.7733,1167.1022,410.28888
991.2772,403.6199,983.27765,587.36444,1166.9613,576.1176,1162.7205,415.55908
990.4354,402.43463,991.92847,581.96344,1164.6458,574.35333,1167.0243,409.0986
991.68036,399.80472,992.5458,579.6525,1163.5138,576.50446,1166.2338,411.78775
987.6366,397.97253,992.1275,580.96094,1162.452,573.9847,1164.6676,412.43082
995.22906,406.1299,996.3439,578.45514,1168.8672,579.04346,1169.3599,405.11386
990.3146,403.7665,990.44965,581.21387,1166.6935,574.629,1168.2948,408.99252
996.2764,407.98917,988.4883,581.2102,1169.0848,578.2639,1165.324,413.6948
991.59454,402.92047,990.81366,582.6487,1166.1729,575.8273,1166.6587,409.90256
991.3937,401.79944,990.39886,582.16064,1165.9695,576.5268,1166.5347,410.08658
990.8551,403.2599,986.9765,586.11835,1165.8646,574.89307,1165.35,410.5801
994.29767,402.8249,993.59064,578.9828,1165.8564,578.6305,1167.3612,409.31268
992.51575,403.14075,994.7663,578.39075,1165.9896,576.4505,1166.9391,409.5067
989.1795,399.26166,993.2282,580.60315,1162.6715,573.8317,1169.4628,406.47662
997.42926,406.2389,1000.8651,574.4733,1165.8503,578.7141,1171.5466,403.24133
988.9409,401.14334,990.694,581.79877,1165.2417,574.624,1166.8405,409.94363
993.136,403.70703,990.4791,581.21027,1164.823,575.8607,1166.7631,410.07336
988.306,401.08328,992.46094,580.68634,1163.1023,572.27637,1166.8629,409.8863
989.17004,401.4565,994.14545,578.6489,1165.2643,574.10614,1169.2327,407.21063
991.8563,402.1208,992.3008,580.5995,1166.1848,577.1953,1167.0494,409.60037
991.7045,403.48044,992.24805,579.8592,1167.0052,576.62506,1165.8265,411.04138
994.69135,406.8559,993.68085,580.1057,1168.87,577.8864,1167.3142,408.38702
988.22546,400.86328,991.0364,582.0389,1163.4984,573.23627,1166.2504,410.4103
994.52997,404.18695,991.9163,581.52313,1167.8629,579.6387,1166.1329,409.4205
990.8794,403.50418,990.42926,581.4344,1167.6151,575.41516,1167.5419,410.10754
989.6246,399.7057,998.0076,572.1731,1164.7661,576.9195,1171.6083,408.5612
992.35156,404.60794,991.2874,580.8186,1167.288,576.36536,1165.9388,411.15906
989.493,400.26987,993.0114,580.153,1161.8442,572.67847,1167.8165,409.20624
990.69855,401.55975,993.8857,578.19073,1165.1827,575.76324,1168.2909,409.6038
991.9603,403.16452,992.6986,579.7037,1166.4065,576.55396,1166.8936,409.90176
988.94904,403.14325,991.761,581.9619,1165.9513,573.7925,1167.248,408.99072
994.85803,403.4682,993.86145,579.2598,1166.8412,579.4838,1167.0034,409.25122
995.405,405.8152,992.57495,580.80566,1168.8246,578.98566,1166.5,408.38647
991.3465,404.03284,991.36456,579.9233,1167.5953,576.09283,1167.0127,410.4017
989.977,401.3022,992.5659,579.80396,1163.9148,574.0844,1167.2318,409.60678
991.2783,400.2907,992.5855,580.1126,1161.7294,573.3897,1167.6057,410.2328
991.0976,400.9224,991.3963,581.32007,1165.3822,576.70056,1165.2285,411.27325
994.8837,405.56766,992.56134,581.1273,1167.7207,577.824,1166.4147,409.3176
994.5226,403.28387,994.81934,578.06836,1168.1191,580.7989,1167.6602,408.78073
991.73444,401.5908,992.36743,580.3949,1166.5782,577.79803,1166.2605,411.0294
989.271,401.50372,997.1384,574.183,1165.3099,575.7358,1172.1997,407.0786
986.553,396.15036,990.4271,581.62726,1161.3857,573.3171,1165.3195,412.5871
997.3882,411.04187,998.5469,576.7699,1170.8479,579.0592,1171.3556,402.4688
993.3164,404.3604,996.8735,577.42017,1165.9397,576.73395,1170.4979,404.88846
987.68317,402.08792,990.0242,581.9824,1165.1147,573.1417,1167.3118,410.6448
994.08984,405.09326,992.862,581.5061,1166.081,575.6719,1167.3887,407.74762
990.76855,403.45242,990.4205,584.3173,1167.04,575.7391,1164.7941,409.91638
